SL.No.,CITY 1,CITY 2,"PASSENGERS
 TO CITY 2","PASSENGERS
 FROM CITY 2","FREIGHT
 TO CITY 2","FREIGHT
 FROM CITY 2"
272,SEYCHELLES,MUMBAI,6823,8582,0.4,41.2
273,SHANGHAI,DELHI,9032,10166,365.8,85.0
274,SHANGHAI,MUMBAI,4007,3720,620.6,307.5
275,SHARJAH,AHMEDABAD,14621,13535,9.6,210.4
276,SHARJAH,BENGALURU,15272,14056,58.1,246.2
277,SHARJAH,CHANDIGARH,5958,6537,0.0,0.0
278,SHARJAH,CHENNAI,25610,18727,48.8,193.7
279,SHARJAH,COIMBATORE,10436,10073,3.3,188.6
280,SHARJAH,DELHI,29429,29945,63.6,443.2
281,SHARJAH,GOA,11488,10623,18.1,83.0
282,SHARJAH,HYDERABAD,35900,31123,7.3,547.6
283,SHARJAH,JAIPUR,14724,14710,1.0,247.9
284,SHARJAH,KOCHI,48881,47398,116.6,813.2
285,SHARJAH,KOZHIKODE,51463,46359,71.2,946.4
286,SHARJAH,LUCKNOW,16482,14651,0.1,136.4
287,SHARJAH,MADURAI,52,0,0.0,0.0
288,SHARJAH,MANGALORE,15036,14135,0.6,82.4
289,SHARJAH,MUMBAI,43589,51680,94.1,667.7
290,SHARJAH,NAGPUR,8283,6962,0.5,54.4
291,SHARJAH,TIRUCHIRAPALLY,15792,13460,1.3,147.3
292,SHARJAH,TRIVANDRUM,67836,61110,7.9,1149.1
293,SHARJAH,VARANASI,16888,16137,0.5,0.0
294,SHARJAH,VISAKHAPATNAM,1332,1547,0.2,7.5
295,SHARJAH,KANNUR,16743,16253,0.0,0.0
296,SHARJAH,SURAT,5418,5866,0.0,0.0
297,SHARJAH,NASIK,0,0,0.0,328.6
298,SINGAPORE,AHMEDABAD,15233,17513,667.2,864.8
299,SINGAPORE,AMRITSAR,12621,15670,5.2,161.4
300,SINGAPORE,BENGALURU,70587,69656,3414.8,1795.5
301,SINGAPORE,CHENNAI,111671,115140,2391.2,3388.2
302,SINGAPORE,COIMBATORE,15533,17409,13.4,272.4
303,SINGAPORE,DELHI,78949,86749,2920.5,2968.1
304,SINGAPORE,HYDERABAD,33499,33953,102.9,279.6
305,SINGAPORE,KOCHI,28698,29551,143.3,235.6
306,SINGAPORE,KOLKATA,31604,32997,465.1,1033.4
307,SINGAPORE,LUCKNOW,6384,6609,0.0,0.0
308,SINGAPORE,MADURAI,13120,14216,0.0,149.7
309,SINGAPORE,MUMBAI,82385,85907,3131.1,3146.1
310,SINGAPORE,TIRUCHIRAPALLY,55484,55354,1.6,502.3
311,SINGAPORE,TRIVANDRUM,10355,10168,4.2,51.9
312,SINGAPORE,VISAKHAPATNAM,3699,4888,20.8,23.1
313,SINGAPORE,VIJAYAWADA,2519,2714,0.0,0.0
314,STOCKHOLM,DELHI,7813,8503,206.5,211.1
315,SYDNEY,DELHI,13262,14713,140.8,153.7
316,TAIPAE,DELHI,6809,7443,775.4,203.0
317,TAIPAE,MUMBAI,0,0,24.6,0.0
318,TASHKENT,AMRITSAR,2778,3641,0.3,7.7
319,TASHKENT,DELHI,15948,15037,13.1,474.0
320,TASHKENT,MUMBAI,3676,3496,0.2,85.8
321,TEHRAN,DELHI,6283,6537,22.8,461.1
322,TEHRAN,MUMBAI,4329,3963,8.9,142.2
323,TELAVIV,DELHI,11465,12975,176.5,331.2
324,TELAVIV,MUMBAI,5110,6324,269.0,455.8
325,TOKYO,DELHI,12992,15769,1349.8,1137.8
326,TORONTO,DELHI,23085,25698,34.8,132.9
327,Vancouver,DELHI,8061,12743,1.9,38.9
328,VIENNA,DELHI,9990,11031,145.7,193.1
329,VIENNA,MUMBAI,0,1,0.0,0.0
330,"WASHINGTON, DC",DELHI,8513,8791,76.5,165.8
331,ZURICH,DELHI,17469,19332,1121.9,1089.5
332,ZURICH,MUMBAI,17504,20705,1300.6,1575.4
SUB TOTAL,,,7750138,7809958,162403,264779
TABLE 4.  CITYPAIRWISE INTERNATIONAL PASSENGER AND FREIGHT CARRIED BY DOMESTIC CARRIERS ENTIRELY OUTSIDE THE INDIAN TERRITORY DURING THE QUARTER JAN-MAR 2019 (P),,,,,,
(PASSENGERS IN NUMBER AND FREIGHT IN TONNES),,,,,,
SL.No.,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2
1,HONG KONG,OSAKA,3327,3125,117.2,128.8
2,HONG KONG,SEOUL,4583,5889,164.2,168.4
3,SHARJAH,SULAYMANIYAH,0,0,31.5,0.0
4,TEHRAN,RASALKHAMA,0,0,0.0,176.9
5,TORONTO,AMSTERDAM,1575,2201,25.8,128.4
SUB TOTAL,,,9485,11215,338.7,602.4
GRAND TOTAL,,,7759623,7821173,162741.8,265380.9
P-Provisional.,,,,,,
